id,sentence,dialect,source
1,રાજ્યમાં ફરી એકવાર હાડ થીજવતી ઠંડીનો અનુભવ થઈ રહ્યો છે,standard_gujarati,balanced
2,ગઈકાલે નલિયામાં સિઝનનું સૌથી નીચું તાપમાન નોંધાયું હતું,standard_gujarati,balanced
3,વેસ્ટર્ન ડિસ્ટર્બન્સ અને હિમવર્ષા થઈ રહી છે,standard_gujarati,balanced
4,જેના કારણે ગુજરાતમાં ઠંડા પવનો ફૂંકાઈ રહ્યા છે,standard_gujarati,balanced
5,જેથી રાજ્યના અનેક શહેરોમાં ઠંડીનું જોર વધ્યું છે,standard_gujarati,balanced
6,આગામી બેથી ત્રણ દિવસ સુધી મિશ્ર ઋતુનો અનુભવ થવાની શક્યતા છે,standard_gujarati,balanced
7,જાન્યુઆરીમાં અંતમાં ઠંડીનો વધુ એક રાઉન્ડ જોવા મળે તેવી શક્યતા છે,standard_gujarati,balanced
8,જેના કારણે ઠંડીમાં વધારો જોવા મળી રહ્યો છે,standard_gujarati,balanced
9,રાજ્યમાં આગામી દિવસોમાં હવામાનમાં સતત બદલાવ જોવા મળશે,standard_gujarati,balanced
10,માછીમારોને આગામી દિવસોમાં દરિયામાં ન જવા સૂચના આપવામાં આવી છે,standard_gujarati,balanced
11,ગુજરાતમાં શિયાળો બરાબરનો જામ્યો હતો,standard_gujarati,balanced
12,ત્યાં જ વાતાવરણમાં ફરી મોટો પલટો આવ્યો છે,standard_gujarati,balanced
13,વેસ્ટર્ન ડિસ્ટર્બન્સના કારણે રાજ્યના અનેક ભાગોમાં વાદળછાયું વાતાવરણ અને હળવા વરસાદી છાંટા જોવા મળ્યા છે,standard_gujarati,balanced
14,રાજ્યમાં થોડા સમયથી અનુભવાતી કડકડતી ઠંડીમાં હવે આંશિક ઘટાડો નોંધાવાની શક્યતા છે,standard_gujarati,balanced
15,ધુમ્મસના કારણે પૂરતી વિઝિબિલિટી ઘટીઑ ધુમ્મસના કારણે પૂરતી વિઝિબિલિટી ન મળતાં પાયલોટોને ટેકઓફ અને લેન્ડિંગ દરમિયાન મુશ્કેલી પડી રહી છે,standard_gujarati,balanced
16,ખાસ કરીને વહેલી સવારે અને મોડી સાંજે ફ્લાઈટ ઓપરેશનમાં ડીલે થઈ રહ્યો હોવાનું એરલાઈન સૂત્રો જણાવી રહ્યા છે,standard_gujarati,balanced
17,ફ્લાઈટ રદ અને ડીલે ના કારણે મુસાફરો એરપોર્ટ પર લાંબા સમય સુધી અટવાઈ રહ્યા હતા અને અનેક એરલાઇન્સના ડીલે થવાને કારણે મુસાફરો પણ રોષે ભરાયા હતા,standard_gujarati,balanced
18,કેટલીક ફ્લાઇટ્સ રદ કરવામાં આવી શકે છે ઈન્ડિગો એરલાઇને એડવાઇઝરી જાહેર કરી છે,standard_gujarati,balanced
19,સલામતીને પ્રાથમિકતા આપતા અને એરપોર્ટ પર મુસાફરોને લાંબી રાહ જોવી ન પડે તે માટે દિવસ દરમિયાન કેટલીક ફ્લાઇટ્સ રદ કરવામાં આવી શકે છે તેમજ કેટલીક ફ્લાઇટ્સને પ્રસ્થાનમાં વધુ સમય લાગી શકે છે,standard_gujarati,balanced
20,મુસાફરોને એરપોર્ટ જતાં પહેલા તેમની ફ્લાઇટની સ્થિતિ તપાસવાની સલાહ આપવામાં આવી છે,standard_gujarati,balanced
21,ઈન્ડિગો અને એર ઇન્ડિયા ઉપરાંત અન્ય અનેક એરલાઇન્સે પણ આવી જ પ્રકારની એડવાઇઝરી જાહેર કરી છે,standard_gujarati,balanced
