id,sentence,dialect,source
1,4 (ફૂલછાબ ન્યૂઝ): સપ્તસંગીતિની ત્રીજી રાત્રી એ આફતાબ-એ-સિતાર કહેવાતા ઉ,kathiawari,news_media
2,"શુજાદ
ખાનના સિતારના સુરોએ શ્રોતાઓને અલૌકિક દુનિયાની સફર કરાવી હતી",kathiawari,news_media
3,"ભારતીય
શાસ્ત્રીય સંગીતના આકાશમાં આફતાબ-એ-સિતારના ખિતાબથી વિભૂષિત ઉસ્તાદ શુજાત ખાનની સિતાર આલાપના પ્રથમ સ્પર્શથી જ સિતારના તારથી વહેતા મીંડ,
કરુણ ગમક અને સૂક્ષ્મ અલંકારો મનને મંત્રમુગ્ધ કરી દેતા હતા",kathiawari,news_media
4,"દરેક સ્વર જાણે સૂર્યકિરણ
સમાન ઉજાસ ફેલાવતો અને દરેક તાન સંગીતપ્રેમીઓના હૃદયમાં નવી ઊર્જા જગાવતી હતી",kathiawari,news_media
5,"ઉસ્તાદ
શુજાત ખાને પ્રથમ રાગ ઝિંઝોટી પ્રસ્તુત કર્યો હતો",kathiawari,news_media
6,"ભારતીય શાસ્ત્રીય સંગીતનો સુંદર
અને લોકપ્રિય રાગ, જે સામાન્ય રીતે શાંતિ, પ્રેમ અને ભક્તિનો ભાવ દર્શાવે છે",kathiawari,news_media
7,"રાગવિસ્તાર દરમિયાન ઉસ્તાદ શુજાત ખાનની કલાત્મક
સંયમતા અને અભિવ્યક્તિપૂર્ણ સ્વચ્છંદતા સ્પષ્ટ રીતે અનુભવાતી હતી",kathiawari,news_media
8,"તેમન તબલાવાદક સપન
અંજારીયા અને શારીક મુસ્તફાની તબલાની બોલબાંધણી,
લયકારી અને તાલની સૂક્ષ્મ સમજણ સિતાર સાથે સુમેળભર્યો સંવાદ રચતી હતી",kathiawari,news_media
9,"આ કાર્યક્રમ
માત્ર એક સંગીત પ્રસ્તુતિ નહીં, પરંતુ ભારતીય શાસ્ત્રીય સંગીતની જીવંત પરંપરા, સાધના
અને સર્જનાત્મકતાનું ઉજ્જવળ ઉત્સવ સાબિત થયો હતો",kathiawari,news_media
10,"શ્રોતાઓ લાંબા સમય સુધી આ સંગીતરસના
મીઠા સ્વરોને હૃદયમાં સંભાળીને રાખે તેવો સ્મરણીય સંગીતાનુભવ બની રહ્યો હતો",kathiawari,news_media
11,"રાજકોટની
આશાસ્પદ યુવા ગાયિકા ઈશિતા ઉમરાણીયા દ્વારા રજૂ કરાયેલી શાસ્ત્રીય ગાયનની પ્રસ્તુતિ
શ્રોતાઓ માટે એક યાદગાર સંગીતીય અનુભવ બની રહી હતી",kathiawari,news_media
12,"ઈશિતાજીએ રાગના આલાપથી માંડીને
બંદિશ સુધી સુવ્યવસ્થિત અને ભાવસભર ગાયન રજૂ કર્યું હતું",kathiawari,news_media
