id,sentence,dialect,source
1,રાજ્યમાં ફરી એકવાર હાડ થીજવતી ઠંડીનો અનુભવ થઈ રહ્યો છે,standard,news_media
2,"છેલ્લા બે દિવસથી તાપમાનનો પારો સતત નીચે ગગડી રહ્યો છે, જેના કારણે સવાર અને રાત્રિના સમયે ઠંડીનું જોર વધુ જોવા મળી રહ્યું છે",standard,news_media
3,ગઈકાલે નલિયામાં સિઝનનું સૌથી નીચું તાપમાન નોંધાયું હતું,standard,news_media
4,"જો કે છેલ્લા ઉત્તર-પૂર્વી રાજ્યોમાં થયેલી હિમવર્ષાની અસર ગુજરાતના વાતાવરણ પર હવામાન વિભાગના જણાવ્યા અનુસાર, અત્યારે ઉત્તર ભારતમાં ઠંડીની સૌથી વધુ અસર જોવા મળી રહી છે",standard,news_media
5,વેસ્ટર્ન ડિસ્ટર્બન્સ અને હિમવર્ષા થઈ રહી છે,standard,news_media
6,ઉત્તર-પૂર્વી રાજ્યોમાં થયેલી હિમવર્ષાની અસર ગુજરાતના વાતાવરણ પર જોવા મળી રહી છે,standard,news_media
7,જેના કારણે ગુજરાતમાં ઠંડા પવનો ફૂંકાઈ રહ્યા છે,standard,news_media
8,જેથી રાજ્યના અનેક શહેરોમાં ઠંડીનું જોર વધ્યું છે,standard,news_media
9,આગામી બેથી ત્રણ દિવસ સુધી મિશ્ર ઋતુનો અનુભવ થવાની શક્યતા છે,standard,news_media
10,જાન્યુઆરીમાં અંતમાં ઠંડીનો વધુ એક રાઉન્ડ જોવા મળે તેવી શક્યતા છે,standard,news_media
11,"રાજ્યમાં ઠંડીનો પ્રભાવ યથાવત છે, જોકે 26 જાન્યુઆરીના લઘુત્તમ તાપમાનની સરખામણીમાં છેલ્લા 24 કલાક દરમિયાન અનેક શહેરોમાં તાપમાનમાં ઘટાડો નોંધાયો છે",standard,news_media
12,"રાજ્યના મોટા ભાગના વિસ્તારોમાં લઘુત્તમ તાપમાનમાં ઘટાડો જોવા મળ્યો છે, જેના કારણે વહેલી સવાર અને રાત્રિના વેસ્ટર્ન ડિસ્ટર્બન્સ સમુદ્ર સપાટીથી 3",standard,news_media
13,5 કિમી ઉપર ફેલાયેલું ઉત્તર પાકિસ્તાન અને આસપાસના વિસ્તારોમાં સાયક્લોનિક સર્ક્યુલેશન તરીકે જોવામાં આવતું વેસ્ટર્ન ડિસ્ટર્બન્સ જે સરેરાશ સમુદ્ર સપાટીથી 3,standard,news_media
14,ઉત્તરપૂર્વ અરબી સમુદ્રથી ઉત્તર પંજાબ સુધી અને સૌરાષ્ટ્ર અને કચ્છ અને પશ્ચિમ રાજસ્થાનમાં દરિયાની સપાટીથી સરેરાશ 1,standard,news_media
15,5 કિમી ઉપર સુધીનો ટ્રફ લાઇન પસાર થઈ રહી છે,standard,news_media
16,આવતીકાલથી 3 દિવસ સુધી તાપમાનમાં 2થી 4 ડિગ્રીનો વધારો જ્યારે દક્ષિણપશ્ચિમ રાજસ્થાન અને આસપાસના વિસ્તારોમાં દરિયાની સપાટીથી 1,standard,news_media
17,5 કિમી ઉપર સાયક્લોનિક સર્ક્યુલેશન પણ છે,standard,news_media
18,જેના કારણે ઠંડીમાં વધારો જોવા મળી રહ્યો છે,standard,news_media
19,"આજ માટે હવામાન વિભાગે જણાવ્યું હતું કે, તાપમાનમાં 3થી 5 ડિગ્રી સેલ્સિયસનો ઘટાડો થશે",standard,news_media
20,જોકે આવતીકાલથી 3 દિવસ સુધી તાપમાનમાં 2થી 4 ડિગ્રી સેલ્સિયસનો વધારો થવાની શક્યતા છે,standard,news_media
21,કયા શહેરોમાં કેટલા તાપમાનનો વધારો નોંધાયો અમદાવાદમાં 26 જાન્યુઆરીએ લઘુત્તમ તાપમાન 17,standard,news_media
22,"2 ડિગ્રી હતું, જ્યારે છેલ્લા 24 કલાકમાં તે ઘટીને 13",standard,news_media
23,"6 ડિગ્રી થયું છે, એટલે કે નોંધપાત્ર ઠંડક અનુભવી છે",standard,news_media
24,"વડોદરામાં પણ મોટો ફેરફાર જોવા મળ્યો છે, જ્યાં તાપમાન 19 ડિગ્રીથી ઘટીને 11",standard,news_media
25,5 ડિગ્રી લઘુત્તમ તાપમાન નોંધાયું છે,standard,news_media
26,"રાજકોટમાં પણ ઠંડીમાં વધારો થયો છે, જ્યાં 11",standard,news_media
27,"નલિયામાં છેલ્લા 24 કલાક દરમિયાન તાપમાન 7 ડિગ્રી આસપાસ રહ્યુમ બીજી તરફ અમરેલીમાં બંને દિવસ તાપમાન સ્થિર રહી 12 ડિગ્રી જ નોંધાયું છે, જ્યારે ભુજમાં 11 ડિગ્રી બંને સમયગાળામાં સમાન રહ્યું છે",standard,news_media
28,કચ્છના નલિયામાં 26 જાન્યુઆરીએ 9,standard,news_media
29,"4 ડિગ્રી હતું, જ્યારે છેલ્લા 24 કલાકમાં તાપમાન વધુ ઘટીને 7 ડિગ્રી નોંધાયું છે, જે રાજ્યમાં સૌથી ઓછું છે",standard,news_media
30,"3 ડિગ્રી થયું છે, જ્યારે ઓખામાં 16",standard,news_media
31,રાજ્યમાં આગામી દિવસોમાં હવામાનમાં સતત બદલાવ જોવા મળશે,standard,news_media
32,"હવામાન વિભાગે આગાહી કરી છે કે, આગામી 48 કલાકમાં રાજ્યના લઘુત્તમ તાપમાનમાં 3થી 5 ડિગ્રી સેલ્સિયસનો વધારો થવાની શક્યતા છે, જેના કારણે હાલ અનુભવાતી ઠંડીમાં આંશિક રાહત મળશે",standard,news_media
